DateKey,Date,Day,DayAbbv,Month,MonthAbbv,MonthNum,Quarter,Year
20120619,2012-06-19,Tuesday,Tue,June,Jun,6,2,2012
20120620,2012-06-20,Wednesday,Wed,June,Jun,6,2,2012
20120621,2012-06-21,Thursday,Thu,June,Jun,6,2,2012
20120622,2012-06-22,Friday,Fri,June,Jun,6,2,2012
20120623,2012-06-23,Saturday,Sat,June,Jun,6,2,2012
20120624,2012-06-24,Sunday,Sun,June,Jun,6,2,2012
20120625,2012-06-25,Monday,Mon,June,Jun,6,2,2012
20120626,2012-06-26,Tuesday,Tue,June,Jun,6,2,2012
20120627,2012-06-27,Wednesday,Wed,June,Jun,6,2,2012
20120628,2012-06-28,Thursday,Thu,June,Jun,6,2,2012
20120629,2012-06-29,Friday,Fri,June,Jun,6,2,2012
20120630,2012-06-30,Saturday,Sat,June,Jun,6,2,2012
20120701,2012-07-01,Sunday,Sun,July,Jul,7,3,2012
20120702,2012-07-02,Monday,Mon,July,Jul,7,3,2012
20120703,2012-07-03,Tuesday,Tue,July,Jul,7,3,2012
20120704,2012-07-04,Wednesday,Wed,July,Jul,7,3,2012
20120705,2012-07-05,Thursday,Thu,July,Jul,7,3,2012
20120706,2012-07-06,Friday,Fri,July,Jul,7,3,2012
20120707,2012-07-07,Saturday,Sat,July,Jul,7,3,2012
20120708,2012-07-08,Sunday,Sun,July,Jul,7,3,2012
20120709,2012-07-09,Monday,Mon,July,Jul,7,3,2012
20120710,2012-07-10,Tuesday,Tue,July,Jul,7,3,2012
20120711,2012-07-11,Wednesday,Wed,July,Jul,7,3,2012
20120712,2012-07-12,Thursday,Thu,July,Jul,7,3,2012
20120713,2012-07-13,Friday,Fri,July,Jul,7,3,2012
20120714,2012-07-14,Saturday,Sat,July,Jul,7,3,2012
20120715,2012-07-15,Sunday,Sun,July,Jul,7,3,2012
20120716,2012-07-16,Monday,Mon,July,Jul,7,3,2012
20120717,2012-07-17,Tuesday,Tue,July,Jul,7,3,2012
20120718,2012-07-18,Wednesday,Wed,July,Jul,7,3,2012
20120719,2012-07-19,Thursday,Thu,July,Jul,7,3,2012
20120720,2012-07-20,Friday,Fri,July,Jul,7,3,2012
20120721,2012-07-21,Saturday,Sat,July,Jul,7,3,2012
20120722,2012-07-22,Sunday,Sun,July,Jul,7,3,2012
20120723,2012-07-23,Monday,Mon,July,Jul,7,3,2012
20120724,2012-07-24,Tuesday,Tue,July,Jul,7,3,2012
20120725,2012-07-25,Wednesday,Wed,July,Jul,7,3,2012
20120726,2012-07-26,Thursday,Thu,July,Jul,7,3,2012
20120727,2012-07-27,Friday,Fri,July,Jul,7,3,2012
20120728,2012-07-28,Saturday,Sat,July,Jul,7,3,2012
20120729,2012-07-29,Sunday,Sun,July,Jul,7,3,2012
20120730,2012-07-30,Monday,Mon,July,Jul,7,3,2012
20120731,2012-07-31,Tuesday,Tue,July,Jul,7,3,2012
20120801,2012-08-01,Wednesday,Wed,August,Aug,8,3,2012
20120802,2012-08-02,Thursday,Thu,August,Aug,8,3,2012
